"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";32.472.419;
"online Visit-Anteil Inland:";88;
"online PIs:";72.277.789;
"online PI-Anteil Inland:";88;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"Süddeutsche.de";
"Angebotstyp:";"Multi-Angebot";
"FQDN:";"http://www.sueddeutsche.de";
"Anbieter:";"Süddeutsche Zeitung Digitale Medien GmbH";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";
"   Nachrichten";12.679.953;19.566.924;11.055.333;17.531.472;8.291.265;13.351.638;8.810.509;14.496.634;15.137.349;29.408.983;15.320.396;25.384.654;15.002.685;24.485.291;18.918.211;31.080.301;19.961.707;32.042.850;9.557.895;17.283.755;8.689.575;16.076.589;6.790.415;11.870.904;7.371.329;13.386.111;8.042.019;15.299.344;8.120.950;16.996.096;8.170.092;15.794.189;8.854.085;16.487.014;7.830.211;15.384.945;9.336.292;18.966.910;7.815.519;15.391.243;8.264.225;16.226.760;7.426.894;15.059.677;9.379.949;18.170.593;7.780.452;16.183.102;7.956.316;15.751.606;
"   Sport";1.590.954;2.818.070;1.659.390;2.887.634;2.038.748;3.288.326;1.974.059;3.283.716;1.585.191;2.530.956;1.837.538;3.265.151;1.358.517;2.201.202;1.314.836;1.911.433;2.119.383;3.649.591;2.204.897;4.896.357;1.927.029;3.732.944;1.892.853;4.739.686;2.590.621;6.134.658;2.242.550;4.682.776;1.820.444;3.885.641;2.017.312;4.157.695;1.917.664;3.735.022;2.050.996;3.920.140;2.664.125;6.121.014;2.135.118;5.191.197;2.748.651;6.252.336;2.056.255;4.754.874;2.129.471;4.574.040;1.814.958;4.256.375;2.378.442;7.006.660;
"   Entertainment / Boulevard / Stars / Film / Musik";735.727;891.654;622.592;763.259;577.432;692.975;699.474;824.022;494.186;610.770;556.964;682.431;748.970;912.532;666.319;846.411;934.370;1.194.689;630.239;825.213;708.921;899.520;695.410;1.008.619;443.217;621.908;366.783;521.256;634.653;835.299;452.721;724.116;557.347;715.370;400.749;527.560;902.824;1.456.331;633.661;882.011;486.780;674.834;472.331;755.764;558.814;1.043.256;872.790;1.419.645;587.789;1.111.760;
"   Fashion / Beauty";184.786;221.517;148.896;175.986;137.637;166.132;164.463;191.251;134.660;159.382;218.483;266.317;255.519;303.183;191.698;237.329;303.238;402.627;175.299;344.910;216.426;307.720;262.717;592.506;203.772;261.342;223.391;299.444;225.218;297.437;264.482;390.985;186.857;272.340;236.280;420.386;290.541;530.237;214.410;319.281;377.122;1.002.178;302.929;1.142.310;190.200;413.502;186.284;378.659;228.921;409.924;
"   Familie / Kinder / Lebenshilfe";512.243;654.787;584.336;718.404;524.113;652.921;480.522;588.962;650.738;784.292;617.532;761.808;629.089;785.112;863.349;1.070.367;909.993;1.488.528;521.127;1.333.892;661.290;1.469.114;1.194.874;1.995.517;619.170;1.322.071;593.415;1.427.395;608.236;1.348.165;573.751;1.440.633;602.709;1.685.376;624.485;1.436.795;500.003;1.227.076;543.978;1.562.072;708.021;1.382.615;413.199;808.121;538.086;1.671.377;551.059;1.554.011;518.915;1.429.010;
"   Liebe / Psychologie / Beziehungen";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Fahrzeuge / Verkehr / Mobilität";192.776;252.070;220.859;291.761;311.421;398.266;320.310;399.777;352.719;462.431;381.736;481.031;421.525;555.347;451.995;657.937;368.195;896.804;373.846;1.121.122;647.155;1.096.470;507.822;922.154;558.662;1.029.421;501.025;1.017.148;140.133;912.740;359.547;1.111.359;694.486;1.434.740;567.195;932.178;605.356;1.034.364;564.313;1.075.614;766.250;1.462.053;414.907;718.568;492.710;1.562.374;427.077;962.283;339.652;1.272.611;
"   Reise / Touristik";44.947;56.084;58.354;74.571;61.530;78.609;61.755;81.700;68.126;89.472;67.229;90.415;59.007;80.989;45.022;60.762;115.651;360.756;117.161;500.869;126.205;580.968;139.334;620.157;183.067;821.937;217.512;804.665;244.012;927.797;280.428;1.006.555;272.715;928.121;353.553;1.554.802;284.440;726.407;268.608;934.167;315.081;1.046.316;159.133;706.221;136.777;531.236;153.536;912.822;145.715;800.472;
"   Computer";147;269;359;493;2.796;3.753;1.303;1.870;1.208;1.619;13.558;19.884;95;146;133;210;216;512;347;566;539;763;3.049;4.382;336;469;298;618;420;773;450;678;7.663;11.257;2.978;3.882;17.206;23.809;2.718;4.416;795;1.402;29.223;37.081;61.928;73.092;22.434;28.964;26.454;33.165;
"   Consumer Electronics";433.681;503.353;391.899;456.493;410.891;479.670;412.138;480.609;482.108;554.750;776.776;892.095;427.215;501.415;580.406;740.703;618.640;824.709;464.174;761.145;615.167;899.128;923.703;1.227.966;431.116;686.414;656.840;881.917;666.485;880.858;595.265;925.140;885.948;1.256.750;440.538;776.116;589.098;910.274;635.528;974.599;965.839;1.457.610;896.948;1.359.715;1.069.941;1.856.605;868.972;1.627.410;852.479;2.572.407;
"   Telekommunikation / Internetdienste";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Spiele";1.316.017;9.624.277;1.286.228;9.580.220;1.143.306;8.106.058;1.172.523;7.782.466;1.216.126;8.654.354;1.210.338;9.850.714;1.007.180;9.167.836;1.311.797;10.416.010;1.315.155;9.861.318;1.167.836;9.975.399;1.230.213;9.551.152;1.320.636;13.149.101;1.181.865;9.339.849;1.175.592;9.289.510;1.076.201;8.413.920;1.093.658;8.481.922;1.092.997;8.867.728;993.998;8.010.539;1.117.873;9.314.704;1.085.214;9.764.461;1.169.382;11.166.031;1.045.961;9.597.330;1.160.769;11.013.924;865.646;7.470.128;24.930;30.217;
