Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20104;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;164826;162647;239833;;62800;;;52592;122329;69737;45692;;1563;2179;;;;;7677;7590;;;1415;;;4473;11177;6704;1587;;115;87;;;;209;;;;;;;;;;;;;;;;;;530097
20103;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;177709;175660;228400;;63952;;;64374;110360;45986;46153;;1181;2049;;;;;8273;8205;;;1426;;;5089;10729;5640;1586;;104;68;;;;209;;;;;;;;;;;;;;;;;;530097
20102;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;158650;156570;213475;;65358;;;49429;100059;50630;40549;;1234;2080;;;;;7857;7784;;;1438;;;4628;10525;5897;1589;;129;73;;;;209;;;;;;;;;;;;;;;;;;530097
20101;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;165662;163521;218667;;66390;;;54543;102574;48031;40564;;2024;2141;;;;;7983;7897;;;1461;;;4748;10260;5512;1574;;114;86;;;;209;;;;;;;;;;;;;;;;;;530097
20094;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;173330;171201;233200;;67424;;;61315;113775;52460;40464;;1998;2129;;;;;8676;8579;;;1481;;;5437;11672;6235;1591;;70;97;;;;209;;;;;;;;;;;;;;;;;;530097
20093;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;176950;174632;225333;;68821;;;63411;105738;42327;40591;;1809;2318;;;;;7048;6949;;;1482;;;3778;10788;7010;1618;;71;99;;;;209;;;;;;;;;;;;;;;;;;530097
20092;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;167702;165109;220000;;71618;;;50657;95686;45029;40752;;2082;2593;;;;;7457;7359;;;1523;;;4133;10745;6612;1629;;74;98;;;;209;;;;;;;;;;;;;;;;;;530097
20091;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;175295;172557;233167;;75375;;;53968;105386;51418;40772;;2442;2738;;;;;7766;7660;;;1567;;;4411;11868;7457;1612;;70;106;;;;209;;;;;;;;;;;;;;;;;;530097
20084;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;193662;190965;259200;;79378;;;68421;126867;58446;40744;;2422;2697;;;;;9711;9609;;;1644;;;6278;13324;7046;1628;;59;102;;;;209;;;;;;;;;;;;;;;;;;530097
20083;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;192120;189359;245267;;83655;;;62688;108447;45759;40667;;2349;2761;;;;;8695;8589;;;1709;;;5316;12899;7583;1523;;41;106;;;;209;;;;;;;;;;;;;;;;;;530097
