Quartal,IVW-Nr.,Titel-Nr.,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20113,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,5005859,5002167,5010867,5002167,,,,,,,,,,3692,,,,,16425,16392,,16392,,,,,,,,,,33,,,,401,,,,,,,,,,,,,,,,,,597953
20112,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,5024006,5020075,5034400,5020075,,,,,,,,,,3931,,,,,15559,15492,,15492,,,,,,,,,,67,,,,401,,,,,,,,,,,,,,,,,,597953
20111,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,5013718,5009483,5024333,5009483,,,,,,,,,,4235,,,,,15117,15067,,15067,,,,,,,,,,50,,,,401,,,,,,,,,,,,,,,,,,597953
20104,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,5102551,5093358,5112875,5093358,,,,,,,,,,9193,,,,,14233,14133,,14133,,,,,,,,,,100,,,,401,,,,,,,,,,,,,,,,,,597953
20103,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,5024614,5019892,5035867,5019892,,,,,,,,,,4722,,,,,13216,13133,,13133,,,,,,,,,,83,,,,401,,,,,,,,,,,,,,,,,,597953
20102,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,5030927,5026517,5047433,5026517,,,,,,,,,,4410,,,,,12592,12575,,12575,,,,,,,,,,17,,,,401,,,,,,,,,,,,,,,,,,597953
20101,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4984004,4978850,4996933,4978850,,,,,,,,,,5154,,,,,11667,11592,,11592,,,,,,,,,,75,,,,401,,,,,,,,,,,,,,,,,,597953
20094,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4989793,4984192,4999642,4984192,,,,,,,,,,5601,,,,,10917,10767,,10767,,,,,,,,,,150,,,,401,,,,,,,,,,,,,,,,,,597953
20093,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4875464,4870967,4884858,4870967,,,,,,,,,,4497,,,,,9683,9583,,9583,,,,,,,,,,100,,,,401,,,,,,,,,,,,,,,,,,597953
20092,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4873283,4868667,4887167,4868667,,,,,,,,,,4616,,,,,9350,9283,,9283,,,,,,,,,,67,,,,401,,,,,,,,,,,,,,,,,,597953
20091,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4802637,4797058,4809125,4797058,,,,,,,,,,5579,,,,,8825,8742,,8742,,,,,,,,,,83,,,,401,,,,,,,,,,,,,,,,,,597953
20084,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4805260,4798058,4811608,4798058,,,,,,,,,,7202,,,,,8300,8217,,8217,,,,,,,,,,83,,,,401,,,,,,,,,,,,,,,,,,597953
20083,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4657030,4651658,4663325,4651658,,,,,,,,,,5372,,,,,7716,7683,,7683,,,,,,,,,,33,,,,401,,,,,,,,,,,,,,,,,,597953
20082,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4655256,4649075,4668083,4649075,,,,,,,,,,6181,,,,,7716,7608,,7608,,,,,,,,,,108,,,,401,,,,,,,,,,,,,,,,,,597953
20081,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4593641,4586333,4601825,4586333,,,,,,,,,,7308,,,,,7450,7358,,7358,,,,,,,,,,92,,,,401,,,,,,,,,,,,,,,,,,597953
20074,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4596816,4588975,4604317,4588975,,,,,,,,,,7841,,,,,6425,6292,,6292,,,,,,,,,,133,,,,401,,,,,,,,,,,,,,,,,,597953
20073,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4467270,4461650,4474242,4461650,,,,,,,,,,5620,,,,,5567,5458,,5458,,,,,,,,,,109,,,,401,,,,,,,,,,,,,,,,,,597953
20072,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4469858,4454092,4476275,4454092,,,,,,,,,,15766,,,,,5609,5417,,5417,,,,,,,,,,192,,,,401,,,,,,,,,,,,,,,,,,597953
20071,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4448379,4391300,4455775,4391300,,,,,,,,,,57079,,,,,5150,5017,,5017,,,,,,,,,,133,,,,401,,,,,,,,,,,,,,,,,,597953
20064,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4400252,4395592,4408633,4395592,,,,,,,,,,4660,,,,,4633,4525,,4525,,,,,,,,,,108,,,,401,,,,,,,,,,,,,,,,,,597953
20063,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4279479,4275117,4286741,4275117,,,,,,,,,,4362,,,,,4033,3975,,3975,,,,,,,,,,58,,,,401,,,,,,,,,,,,,,,,,,597953
